id,composition,Eg
3,Zn1Si1O3,3.5783
4,Te6Mo2W1,1.2731999999999997
5,Mo3W1Se4S4,1.3755000000000002
6,Te4Mo3W1S4,0.2688999999999999
7,Mo3W1Se6S2,1.2888000000000002
8,Mo1W1S4,1.5276000000000003
9,Te4Mo3W1Se4,0.6334
10,Te1W1Se1,0.9929
11,Mo1W1Se3S1,1.2929999999999997
12,Te2Mo1W1Se2,0.8037999999999998
13,K1Mg6Ga1O8,1.1688999999999998
15,Na1P1F6,7.0089000000000015
16,Mg1O1,3.2583
17,Cs1S1O3,0.4344
18,Sc1F3,6.0792
20,K3Na1H4,2.2261
21,K1Sn1N3,0.28590000000000004
22,Sr1H1Br1O1,4.3167
23,Mo1W1Se2S2,0.9892000000000004
24,Mn2H1O4,0.3413999999999999
25,Ce1Se2,0.1775
26,K2Bi1Au1,0.961
27,Li1Sc1Cd2,0.048499999999999766
28,Sr2Zn1Sn1,0.0019000000000000128
29,Li2Zn1Ag1,0.4451000000000001
30,Ba2Tl1Ag1,0.6040000000000001
31,Sr2Mg1Pb1,0.009399999999999851
32,Y2Tl1Cu1,0.14360000000000014
33,Cs1K2As1,0.02430000000000021
34,Li1Sc2Tl1,0.01770000000000005
35,Ba2Li1Tl1,0.6390999999999998
36,H1C1,3.091
37,Na2Sr1Ca1,0.9623
38,Sr2Pd1Pt1,1.0780999999999998
40,Nb1Cr1O4,2.3075
41,Zn1P2,1.4656000000000002
42,Cd1S1O4,0.8038
43,Li5Cl3O1,3.6165
44,K3As1I6,2.0463
45,K2Rb1Ga1I6,0.9854
46,Cs2Rb1Tl1Br6,1.5133
47,K2La1Cu1Cl6,2.1312
48,Cs2Tl1Bi1Br6,1.7359000000000002
49,Cs2Li1Y1I6,3.0085
50,Rb2Sc1Cu1Cl6,1.8655
51,K2La4O7,2.7306000000000004
52,Si2Mo1O7,0.1651999999999999
53,Ba1Ni1C4Br1,0.7667000000000002
54,B1P1O4,6.9876
55,Li3Mn1Co1O5,1.1939000000000002
56,Li4Mn3Co1O8,0.2601
57,Li4Mn1Co2O7,0.3761999999999999
62,Li2Sn1O6,0.4868000000000001
63,Li2B1H6N1,4.1961
64,Ir1S2Cl3O7,0.4744000000000002
65,Ba1P2O8,0.26110000000000005
66,Gd2Cr2O5,0.012299999999999756
68,Sr2Zn1S3,2.4229
69,K2Cu1Te1O7,0.15850000000000009
70,Er4Zn5Ge6,0.15520000000000025
74,Pr1Tl1P2S7,2.4403000000000006
75,Ba1Te3O7,3.2644
76,Cs1H2F3,7.0171
77,Zn1B3H3O7,4.6703
78,Si1Pb2O4,2.6225000000000005
81,Tc1C5Cl1O5,2.674
82,Re1C2N1Cl4,0.02260000000000006
85,Zn1W1O4,2.4711
86,Rb2Mn1F4,3.0223
87,Zr1Ni1F6,5.6651
89,Sm1Cr1Ge1O5,2.5142
90,Sm3W1Cl3O6,3.4707
91,Nd3Cu3Bi4,0.3033999999999999
94,K1Au1Cl4O2,0.6558999999999999
96,Cs3La1Br6,3.8877
98,Sr1Pr1Sc1O4,3.7618
99,Sn1Te2Pb1,0.8409999999999993
101,Sc3In1P4,1.1089000000000002
103,Na1H1Se1O4,3.3653
104,Na1Pr1S2,2.2089
105,Mn3Cd1Te4,0.1924999999999999
106,K1Re3S4O4,0.28480000000000016
107,Cd2In1Ag1S4,0.17689999999999986
108,Ca2Pr2Mn1Ni1O8,1.2661999999999995
111,Li5Tl2,0.03469999999999995
112,Tm2Mg1Se4,1.6031999999999995
113,In1As1H4O6,2.8287
114,Be1H8N2F4,6.5541
115,Al1In2N3,0.8838999999999997
116,Ba3Sc2N4,1.6155
117,Mg1Co1Mo1S4,0.009700000000000486
118,Ca2Bi1N3,0.1524000000000001
119,Li1Fe1Si1O4,2.7623
120,Ca2Al1V1O5,1.5073
121,Tb1Cu1Se2,0.8279999999999994
122,Tl2Ge1Se3,1.1277999999999997
123,Y3Si3Rh1,0.0016999999999995907
124,Ho2Mo1O6,2.1491
125,Rb2Mo1S4,1.575
126,Na3Mo1N1O3,3.5676
127,Ca1Si2Ni1O6,4.4369
128,K2Ni1O2,2.7796
